space_weight_kg,thrust_kN,power_capacity_kWh,engine_class,FOV_Threat_Count,Min_Distance_In_FOV,FOV_Density,FOV_Front_Cone_Threat_Count,Angle_Weighted_Density,Threats_Left_Sector,Threats_Right_Sector,Zone,Average_Threat_Angle_Offset,DangerScore,DangerLabel,FuelUsed,fuel_cost,total_cost,CurrentHeading,PredictedHeading,TurnDirection,AdjustedForThreats,AngleDensity,TurnAngle,MomentumBias,ThreatsLeft,ThreatsRight,Reason,TripScore,Evaluation,Comments
1563,72.2,268.4,Ion-A,6,6.4,0.69,4,0.68,3,4,red,64.9,0.78,High,1.112,5.56,5.56,224,177,left,True,0.68,47,left,3,4,"Threats ahead — adjusted based on density, sector bias, and momentum (bias=left)",0.539,Risky,Moderate danger or cost detected
2025,66.2,299.6,Fusion-B,5,3.33,0.48,4,0.39,0,5,red,3.2,0.754,High,1.941,9.71,9.71,66,30,left,True,0.39,36,right,0,5,"Threats ahead — adjusted based on density, sector bias, and momentum (bias=right)",0.541,Risky,Moderate danger or cost detected
1899,68.3,231.5,Ion-A,6,2.71,0.75,3,0.22,0,0,yellow,48.1,0.617,Medium,1.031,5.15,5.15,335,4,right,True,0.22,29,,0,0,"Threats ahead — adjusted based on density, sector bias, and momentum (bias=None)",0.648,Good,Safe with minor inefficiencies
1412,76.3,247.5,Plasma-A,8,5.57,0.86,5,0.84,4,5,red,78.9,0.965,High,2.019,10.1,10.1,114,60,left,True,0.84,54,,4,5,"Threats ahead — adjusted based on density, sector bias, and momentum (bias=None)",0.413,Risky,Moderate danger or cost detected
1931,47.2,155.6,Plasma-A,1,2.15,0.33,3,0.81,5,5,green,68.7,0.359,Low,2.65,13.25,13.25,246,194,left,True,0.81,52,,5,5,"Threats ahead — adjusted based on density, sector bias, and momentum (bias=None)",0.635,Good,Safe with minor inefficiencies
2079,77.9,283.9,Plasma-A,6,6.89,0.3,1,0.22,4,4,green,78.4,0.33,Low,2.055,10.28,10.28,5,336,left,True,0.22,29,left,4,4,"Threats ahead — adjusted based on density, sector bias, and momentum (bias=left)",0.721,Good,Safe with minor inefficiencies
1917,56.8,281.9,Fusion-B,7,4.35,0.63,1,0.46,0,3,yellow,10.6,0.651,Medium,1.645,8.22,8.22,123,85,left,True,0.46,38,,0,3,"Threats ahead — adjusted based on density, sector bias, and momentum (bias=None)",0.589,Risky,Moderate danger or cost detected
1684,42.1,241.5,Ion-A,8,6.22,0.66,1,0.47,4,5,yellow,17.5,0.68,Medium,1.99,9.95,9.95,206,167,left,True,0.47,39,left,4,5,"Threats ahead — adjusted based on density, sector bias, and momentum (bias=left)",0.562,Risky,Moderate danger or cost detected
1480,44.8,248.9,Fusion-B,7,5.77,0.47,4,0.87,3,0,yellow,13.6,0.785,High,2.669,13.35,13.35,228,283,right,True,0.87,55,,3,0,"Threats ahead — adjusted based on density, sector bias, and momentum (bias=None)",0.457,Risky,Moderate danger or cost detected
1521,79.7,194.8,Fusion-B,0,9.88,0.9,0,0.99,3,3,green,12.9,0.303,Low,1.208,6.04,6.04,285,285,none,False,0.99,0,right,3,3,No threats detected,0.83,Excellent,Efficient and low-risk path
1400,74.5,168.9,Ion-A,4,1.73,0.4,4,0.99,4,1,red,28.2,0.894,High,1.038,5.19,5.19,343,43,right,True,0.99,60,right,4,1,"Threats ahead — adjusted based on density, sector bias, and momentum (bias=right)",0.468,Risky,Moderate danger or cost detected
1749,42.3,212.3,Fusion-B,0,2.88,0.8,1,0.58,3,2,red,14.3,0.449,Medium,2.917,14.58,14.58,317,0,right,True,0.58,43,right,3,2,"Threats ahead — adjusted based on density, sector bias, and momentum (bias=right)",0.608,Good,Safe with minor inefficiencies
1884,71.4,264.8,Plasma-A,5,2.16,0.49,5,0.43,3,0,green,38.6,0.536,Medium,1.967,9.84,9.84,337,14,right,True,0.43,37,left,3,0,"Threats ahead — adjusted based on density, sector bias, and momentum (bias=left)",0.625,Good,Safe with minor inefficiencies
1402,59.1,140.7,Fusion-B,5,5.8,0.76,5,0.95,2,4,red,80.3,0.809,High,1.425,7.12,7.12,191,133,left,True,0.95,58,left,2,4,"Threats ahead — adjusted based on density, sector bias, and momentum (bias=left)",0.491,Risky,Moderate danger or cost detected
1446,70.3,225.0,Ion-A,7,1.16,0.1,1,0.73,5,5,red,20.4,0.965,High,1.001,5.0,5.0,209,160,left,True,0.73,49,left,5,5,"Threats ahead — adjusted based on density, sector bias, and momentum (bias=left)",0.465,Risky,Moderate danger or cost detected
1660,75.1,189.9,Plasma-A,3,1.92,0.55,1,0.31,0,3,green,5.9,0.392,Low,1.543,7.71,7.71,234,202,left,True,0.31,32,left,0,3,"Threats ahead — adjusted based on density, sector bias, and momentum (bias=left)",0.71,Good,Safe with minor inefficiencies
2133,41.8,291.8,Fusion-B,1,5.1,0.57,3,0.52,0,5,red,39.0,0.45,Medium,3.666,18.33,18.33,301,260,left,True,0.52,41,left,0,5,"Threats ahead — adjusted based on density, sector bias, and momentum (bias=left)",0.582,Risky,Moderate danger or cost detected
2190,67.5,161.4,Fusion-B,7,9.97,0.54,5,0.75,4,4,green,14.8,0.62,Medium,1.689,8.45,8.45,255,205,left,True,0.75,50,left,4,4,"Threats ahead — adjusted based on density, sector bias, and momentum (bias=left)",0.573,Risky,Moderate danger or cost detected
1943,76.3,269.9,Plasma-A,0,1.17,0.3,4,0.98,3,4,yellow,19.0,0.619,Medium,2.222,11.11,11.11,260,201,left,True,0.98,59,left,3,4,"Threats ahead — adjusted based on density, sector bias, and momentum (bias=left)",0.532,Risky,Moderate danger or cost detected
2108,40.9,220.7,Plasma-A,2,2.11,0.74,5,0.79,1,0,yellow,33.8,0.643,Medium,4.976,24.88,24.88,336,28,right,True,0.79,52,right,1,0,"Threats ahead — adjusted based on density, sector bias, and momentum (bias=right)",0.428,Risky,Moderate danger or cost detected
2020,65.6,263.4,Fusion-B,8,6.61,0.63,3,0.05,3,4,red,9.7,0.779,High,1.934,9.67,9.67,127,105,left,True,0.05,22,,3,4,"Threats ahead — adjusted based on density, sector bias, and momentum (bias=None)",0.562,Risky,Moderate danger or cost detected
1807,73.4,147.7,Fusion-B,4,2.04,0.5,3,0.12,1,1,yellow,22.7,0.526,Medium,1.5,7.5,7.5,308,333,right,True,0.12,25,right,1,1,"Threats ahead — adjusted based on density, sector bias, and momentum (bias=right)",0.674,Good,Safe with minor inefficiencies
1706,68.1,172.9,Plasma-A,8,7.17,0.11,2,0.42,5,5,red,9.1,0.747,Medium,1.717,8.59,8.59,323,286,left,True,0.42,37,left,5,5,"Threats ahead — adjusted based on density, sector bias, and momentum (bias=left)",0.55,Risky,Moderate danger or cost detected
1605,60.8,239.6,Ion-A,4,7.31,0.48,5,0.9,2,5,green,46.0,0.494,Medium,0.888,4.44,4.44,332,276,left,True,0.9,56,left,2,5,"Threats ahead — adjusted based on density, sector bias, and momentum (bias=left)",0.642,Good,Safe with minor inefficiencies
1915,64.7,185.2,Plasma-A,5,8.06,0.55,5,0.61,0,2,red,70.0,0.699,Medium,1.908,9.54,9.54,245,201,left,True,0.61,44,right,0,2,"Threats ahead — adjusted based on density, sector bias, and momentum (bias=right)",0.546,Risky,Moderate danger or cost detected
1984,73.3,295.7,Plasma-A,6,4.22,0.47,5,0.16,5,4,yellow,49.3,0.584,Medium,2.137,10.69,10.69,216,242,right,True,0.16,26,left,5,4,"Threats ahead — adjusted based on density, sector bias, and momentum (bias=left)",0.623,Good,Safe with minor inefficiencies
1935,76.4,250.1,Ion-A,0,5.33,0.31,3,0.01,1,0,red,8.0,0.231,Low,0.995,4.97,4.97,28,48,right,True,0.01,20,left,1,0,"Threats ahead — adjusted based on density, sector bias, and momentum (bias=left)",0.823,Excellent,Efficient and low-risk path
1673,44.4,231.9,Ion-A,4,5.45,0.95,5,0.78,2,1,green,6.8,0.579,Medium,1.728,8.64,8.64,353,44,right,True,0.78,51,,2,1,"Threats ahead — adjusted based on density, sector bias, and momentum (bias=None)",0.586,Risky,Moderate danger or cost detected
1608,68.9,284.8,Plasma-A,0,6.8,0.51,2,0.98,3,0,red,23.8,0.46,Medium,1.629,8.14,8.14,345,44,right,True,0.98,59,right,3,0,"Threats ahead — adjusted based on density, sector bias, and momentum (bias=right)",0.62,Good,Safe with minor inefficiencies
1629,42.0,270.1,Plasma-A,8,8.87,0.87,3,0.36,1,4,red,60.9,0.804,High,4.496,22.48,22.48,147,113,left,True,0.36,34,left,1,4,"Threats ahead — adjusted based on density, sector bias, and momentum (bias=left)",0.423,Risky,Moderate danger or cost detected
1790,57.0,158.5,Fusion-B,6,8.66,0.9,5,0.01,2,4,green,12.5,0.498,Medium,1.528,7.64,7.64,6,346,left,True,0.01,20,,2,4,"Threats ahead — adjusted based on density, sector bias, and momentum (bias=None)",0.695,Good,Safe with minor inefficiencies
1607,65.9,192.6,Plasma-A,7,9.05,0.96,1,0.27,5,5,red,66.0,0.669,Medium,1.601,8.0,8.0,331,2,right,True,0.27,31,,5,5,"Threats ahead — adjusted based on density, sector bias, and momentum (bias=None)",0.599,Risky,Moderate danger or cost detected
2173,72.6,169.3,Plasma-A,8,4.61,0.97,5,0.27,4,1,red,34.7,0.945,High,2.891,14.46,14.46,99,130,right,True,0.27,31,,4,1,"Threats ahead — adjusted based on density, sector bias, and momentum (bias=None)",0.437,Risky,Moderate danger or cost detected
1859,74.0,268.0,Ion-A,1,6.84,0.82,1,0.11,1,5,red,62.7,0.291,Low,0.91,4.55,4.55,61,37,left,True,0.11,24,right,1,5,"Threats ahead — adjusted based on density, sector bias, and momentum (bias=right)",0.794,Good,Safe with minor inefficiencies
1441,42.3,290.8,Fusion-B,4,2.43,0.47,4,0.59,2,1,green,72.2,0.455,Medium,2.404,12.02,12.02,299,343,right,True,0.59,44,,2,1,"Threats ahead — adjusted based on density, sector bias, and momentum (bias=None)",0.624,Good,Safe with minor inefficiencies
1405,67.1,169.0,Fusion-B,7,4.42,0.42,5,0.03,1,0,green,61.6,0.464,Medium,1.081,5.4,5.4,165,186,right,True,0.03,21,right,1,0,"Threats ahead — adjusted based on density, sector bias, and momentum (bias=right)",0.725,Good,Safe with minor inefficiencies
1452,73.5,295.8,Plasma-A,4,2.18,0.93,3,0.11,4,4,yellow,37.0,0.561,Medium,1.57,7.85,7.85,37,13,left,True,0.11,24,,4,4,"Threats ahead — adjusted based on density, sector bias, and momentum (bias=None)",0.659,Good,Safe with minor inefficiencies
1938,42.5,244.8,Ion-A,2,1.11,0.88,4,0.52,0,4,green,66.9,0.522,Medium,2.236,11.18,11.18,212,171,left,True,0.52,41,right,0,4,"Threats ahead — adjusted based on density, sector bias, and momentum (bias=right)",0.611,Good,Safe with minor inefficiencies
1949,69.0,175.8,Fusion-B,1,9.6,0.89,2,0.52,1,1,red,61.9,0.419,Medium,1.521,7.6,7.6,169,128,left,True,0.52,41,,1,1,"Threats ahead — adjusted based on density, sector bias, and momentum (bias=None)",0.68,Good,Safe with minor inefficiencies
1769,57.3,256.3,Fusion-B,3,5.34,0.7,4,0.64,4,3,red,13.4,0.682,Medium,1.498,7.49,7.49,332,18,right,True,0.64,46,left,4,3,"Threats ahead — adjusted based on density, sector bias, and momentum (bias=left)",0.565,Risky,Moderate danger or cost detected
1517,73.1,282.7,Plasma-A,5,6.52,0.11,3,0.93,1,5,red,45.5,0.686,Medium,1.628,8.14,8.14,318,261,left,True,0.93,57,left,1,5,"Threats ahead — adjusted based on density, sector bias, and momentum (bias=left)",0.534,Risky,Moderate danger or cost detected
1440,58.8,219.3,Plasma-A,5,2.49,0.78,3,0.32,0,3,yellow,29.8,0.625,Medium,1.531,7.65,7.65,276,243,left,True,0.32,33,,0,3,"Threats ahead — adjusted based on density, sector bias, and momentum (bias=None)",0.615,Good,Safe with minor inefficiencies
1425,51.1,221.1,Plasma-A,5,5.95,0.44,4,0.82,4,3,yellow,7.1,0.674,Medium,1.947,9.73,9.73,22,75,right,True,0.82,53,,4,3,"Threats ahead — adjusted based on density, sector bias, and momentum (bias=None)",0.535,Risky,Moderate danger or cost detected
2067,57.8,231.7,Ion-A,5,1.79,0.55,4,0.32,0,0,green,88.3,0.472,Medium,1.21,6.05,6.05,275,308,right,True,0.32,33,right,0,0,"Threats ahead — adjusted based on density, sector bias, and momentum (bias=right)",0.689,Good,Safe with minor inefficiencies
1407,69.8,142.8,Plasma-A,1,4.63,0.13,1,0.55,5,5,green,74.3,0.2,Low,1.199,6.0,6.0,350,32,right,True,0.55,42,right,5,5,"Threats ahead — adjusted based on density, sector bias, and momentum (bias=right)",0.779,Good,Safe with minor inefficiencies
1506,71.7,294.1,Ion-A,8,6.74,0.9,5,0.56,5,3,red,58.9,0.936,High,1.063,5.31,5.31,36,78,right,True,0.56,42,left,5,3,"Threats ahead — adjusted based on density, sector bias, and momentum (bias=left)",0.49,Risky,Moderate danger or cost detected
1424,58.2,194.5,Fusion-B,5,8.43,0.83,0,0.84,0,0,green,29.9,0.462,Medium,1.18,5.9,5.9,91,91,none,False,0.84,0,,0,0,No threats detected,0.768,Good,Safe with minor inefficiencies
1971,70.7,236.0,Ion-A,3,7.45,0.43,2,0.45,3,3,yellow,8.8,0.417,Medium,1.098,5.49,5.49,322,0,right,True,0.45,38,right,3,3,"Threats ahead — adjusted based on density, sector bias, and momentum (bias=right)",0.705,Good,Safe with minor inefficiencies
1843,66.4,140.4,Fusion-B,0,4.2,0.67,3,0.8,5,0,red,49.3,0.482,Medium,1.414,7.07,7.07,3,55,right,True,0.8,52,right,5,0,"Threats ahead — adjusted based on density, sector bias, and momentum (bias=right)",0.635,Good,Safe with minor inefficiencies
1464,55.0,157.0,Plasma-A,0,9.07,0.54,5,0.82,0,2,red,66.8,0.472,Medium,1.723,8.62,8.62,54,1,left,True,0.82,53,,0,2,"Threats ahead — adjusted based on density, sector bias, and momentum (bias=None)",0.624,Good,Safe with minor inefficiencies
2102,56.4,180.7,Fusion-B,1,2.76,0.21,2,0.85,3,3,yellow,19.4,0.428,Medium,1.824,9.12,9.12,338,284,left,True,0.85,54,left,3,3,"Threats ahead — adjusted based on density, sector bias, and momentum (bias=left)",0.636,Good,Safe with minor inefficiencies
1885,73.0,170.5,Ion-A,8,4.04,0.78,1,0.05,1,5,yellow,57.0,0.584,Medium,1.088,5.44,5.44,279,257,left,True,0.05,22,,1,5,"Threats ahead — adjusted based on density, sector bias, and momentum (bias=None)",0.674,Good,Safe with minor inefficiencies
2049,66.9,159.7,Ion-A,4,9.03,0.51,5,0.59,5,5,yellow,45.4,0.552,Medium,1.103,5.51,5.51,5,49,right,True,0.59,44,right,5,5,"Threats ahead — adjusted based on density, sector bias, and momentum (bias=right)",0.637,Good,Safe with minor inefficiencies
1968,78.6,140.7,Ion-A,1,7.63,0.6,0,0.43,0,4,red,52.7,0.302,Low,1.065,5.32,5.32,201,201,none,False,0.43,0,right,0,4,No threats detected,0.837,Excellent,Efficient and low-risk path
1960,77.0,265.0,Ion-A,4,9.19,0.72,1,0.17,5,5,red,73.4,0.434,Medium,1.226,6.13,6.13,176,149,left,True,0.17,27,left,5,5,"Threats ahead — adjusted based on density, sector bias, and momentum (bias=left)",0.717,Good,Safe with minor inefficiencies
1822,44.1,245.2,Plasma-A,8,6.46,0.39,1,0.88,1,1,green,37.7,0.56,Medium,3.556,17.78,17.78,315,260,left,True,0.88,55,,1,1,"Threats ahead — adjusted based on density, sector bias, and momentum (bias=None)",0.512,Risky,Moderate danger or cost detected
1598,50.9,294.2,Ion-A,2,9.73,0.51,5,0.13,4,0,red,37.1,0.438,Medium,1.186,5.93,5.93,236,261,right,True,0.13,25,right,4,0,"Threats ahead — adjusted based on density, sector bias, and momentum (bias=right)",0.722,Good,Safe with minor inefficiencies
1474,68.0,259.7,Fusion-B,1,3.69,0.73,2,0.86,0,1,red,64.1,0.525,Medium,1.14,5.7,5.7,297,243,left,True,0.86,54,right,0,1,"Threats ahead — adjusted based on density, sector bias, and momentum (bias=right)",0.624,Good,Safe with minor inefficiencies
1738,77.4,241.2,Fusion-B,2,2.81,0.66,5,0.29,5,1,green,31.1,0.397,Low,1.306,6.53,6.53,145,177,right,True,0.29,32,right,5,1,"Threats ahead — adjusted based on density, sector bias, and momentum (bias=right)",0.718,Good,Safe with minor inefficiencies
1471,66.9,297.0,Ion-A,5,6.85,0.96,3,0.5,3,2,red,62.5,0.693,Medium,0.792,3.96,3.96,337,17,right,True,0.5,40,,3,2,"Threats ahead — adjusted based on density, sector bias, and momentum (bias=None)",0.602,Good,Safe with minor inefficiencies
2110,52.9,158.5,Plasma-A,2,4.17,0.53,4,0.57,4,2,yellow,60.0,0.449,Medium,2.677,13.38,13.38,219,262,right,True,0.57,43,left,4,2,"Threats ahead — adjusted based on density, sector bias, and momentum (bias=left)",0.618,Good,Safe with minor inefficiencies
1404,56.7,259.7,Fusion-B,3,8.57,0.36,1,0.85,5,5,red,72.7,0.486,Medium,1.208,6.04,6.04,223,169,left,True,0.85,54,,5,5,"Threats ahead — adjusted based on density, sector bias, and momentum (bias=None)",0.637,Good,Safe with minor inefficiencies
1768,41.0,163.3,Ion-A,5,7.03,0.28,3,0.75,3,3,yellow,14.5,0.59,Medium,2.233,11.17,11.17,156,206,right,True,0.75,50,right,3,3,"Threats ahead — adjusted based on density, sector bias, and momentum (bias=right)",0.564,Risky,Moderate danger or cost detected
1964,51.5,180.1,Ion-A,2,8.55,0.72,5,0.3,4,0,yellow,67.8,0.407,Medium,1.42,7.1,7.1,71,103,right,True,0.3,32,right,4,0,"Threats ahead — adjusted based on density, sector bias, and momentum (bias=right)",0.709,Good,Safe with minor inefficiencies
1601,41.3,270.2,Fusion-B,1,1.92,0.88,5,0.74,0,0,red,77.8,0.675,Medium,2.837,14.19,14.19,323,273,left,True,0.74,50,left,0,0,"Threats ahead — adjusted based on density, sector bias, and momentum (bias=left)",0.505,Risky,Moderate danger or cost detected
1995,69.7,229.8,Plasma-A,6,3.14,0.81,4,0.8,1,0,red,25.9,0.951,High,2.548,12.74,12.74,133,185,right,True,0.8,52,right,1,0,"Threats ahead — adjusted based on density, sector bias, and momentum (bias=right)",0.402,Risky,Moderate danger or cost detected
1952,66.6,288.2,Fusion-B,2,4.49,0.96,2,0.98,3,1,red,28.1,0.678,Medium,1.499,7.5,7.5,148,207,right,True,0.98,59,left,3,1,"Threats ahead — adjusted based on density, sector bias, and momentum (bias=left)",0.538,Risky,Moderate danger or cost detected
1875,62.1,142.1,Plasma-A,8,3.26,0.66,0,0.78,3,2,red,78.3,0.807,High,2.371,11.86,11.86,5,5,none,False,0.78,0,left,3,2,No threats detected,0.582,Risky,Moderate danger or cost detected
2028,73.2,285.8,Plasma-A,2,7.34,0.68,4,0.76,1,3,green,49.2,0.392,Low,1.817,9.08,9.08,91,41,left,True,0.76,50,right,1,3,"Threats ahead — adjusted based on density, sector bias, and momentum (bias=right)",0.659,Good,Safe with minor inefficiencies
1979,64.1,264.2,Plasma-A,2,9.68,0.36,5,0.18,5,3,yellow,61.4,0.337,Low,1.646,8.23,8.23,20,47,right,True,0.18,27,left,5,3,"Threats ahead — adjusted based on density, sector bias, and momentum (bias=left)",0.739,Good,Safe with minor inefficiencies
2179,47.5,167.8,Fusion-B,3,5.62,0.44,0,0.43,2,2,green,50.1,0.271,Low,2.265,11.33,11.33,21,21,none,False,0.43,0,left,2,2,No threats detected,0.801,Excellent,Efficient and low-risk path
1930,45.2,233.4,Fusion-B,6,3.3,0.4,3,0.71,3,0,green,13.9,0.558,Medium,2.723,13.61,13.61,332,20,right,True,0.71,48,,3,0,"Threats ahead — adjusted based on density, sector bias, and momentum (bias=None)",0.561,Risky,Moderate danger or cost detected
1505,46.1,191.6,Plasma-A,8,1.46,0.94,5,0.62,2,5,yellow,59.6,0.939,High,3.284,16.42,16.42,296,251,left,True,0.62,45,right,2,5,"Threats ahead — adjusted based on density, sector bias, and momentum (bias=right)",0.393,Poor,Unsafe or inefficient trip path
1983,59.6,231.6,Ion-A,6,4.22,0.81,5,0.32,3,2,red,19.8,0.843,High,1.398,6.99,6.99,334,7,right,True,0.32,33,left,3,2,"Threats ahead — adjusted based on density, sector bias, and momentum (bias=left)",0.534,Risky,Moderate danger or cost detected
1929,47.4,150.9,Fusion-B,6,5.55,0.47,1,0.54,4,3,yellow,8.3,0.582,Medium,2.419,12.1,12.1,176,218,right,True,0.54,42,right,4,3,"Threats ahead — adjusted based on density, sector bias, and momentum (bias=right)",0.577,Risky,Moderate danger or cost detected
1893,48.8,174.1,Plasma-A,0,3.99,0.42,4,0.22,1,3,green,67.7,0.215,Low,2.397,11.98,11.98,117,88,left,True,0.22,29,left,1,3,"Threats ahead — adjusted based on density, sector bias, and momentum (bias=left)",0.754,Good,Safe with minor inefficiencies
1926,61.2,299.5,Plasma-A,4,8.41,0.98,1,0.01,1,1,green,60.2,0.302,Low,1.64,8.2,8.2,185,205,right,True,0.01,20,right,1,1,"Threats ahead — adjusted based on density, sector bias, and momentum (bias=right)",0.769,Good,Safe with minor inefficiencies
2134,57.8,284.7,Ion-A,3,6.52,0.66,3,0.96,2,5,green,61.4,0.431,Medium,1.25,6.25,6.25,246,188,left,True,0.96,58,right,2,5,"Threats ahead — adjusted based on density, sector bias, and momentum (bias=right)",0.649,Good,Safe with minor inefficiencies
1890,52.8,286.5,Ion-A,2,9.5,0.45,5,0.54,3,0,green,25.5,0.362,Low,1.08,5.4,5.4,22,64,right,True,0.54,42,left,3,0,"Threats ahead — adjusted based on density, sector bias, and momentum (bias=left)",0.719,Good,Safe with minor inefficiencies
1987,76.5,271.5,Plasma-A,2,4.37,0.82,1,0.45,5,4,green,3.9,0.34,Low,1.902,9.51,9.51,293,331,right,True,0.45,38,left,5,4,"Threats ahead — adjusted based on density, sector bias, and momentum (bias=left)",0.703,Good,Safe with minor inefficiencies
1457,75.9,170.8,Ion-A,4,5.63,0.95,1,0.17,4,3,red,86.1,0.478,Medium,0.89,4.45,4.45,288,315,right,True,0.17,27,left,4,3,"Threats ahead — adjusted based on density, sector bias, and momentum (bias=left)",0.713,Good,Safe with minor inefficiencies
2136,61.5,141.2,Plasma-A,4,1.59,0.7,0,0.77,1,3,red,77.8,0.695,Medium,2.175,10.88,10.88,241,241,none,False,0.77,0,right,1,3,No threats detected,0.635,Good,Safe with minor inefficiencies
1574,57.0,156.6,Ion-A,6,5.84,0.73,4,0.98,1,4,green,69.8,0.569,Medium,0.94,4.7,4.7,319,260,left,True,0.98,59,right,1,4,"Threats ahead — adjusted based on density, sector bias, and momentum (bias=right)",0.604,Good,Safe with minor inefficiencies
1670,65.9,290.4,Ion-A,5,7.72,0.24,3,0.46,4,4,green,29.9,0.401,Medium,0.896,4.48,4.48,117,155,right,True,0.46,38,right,4,4,"Threats ahead — adjusted based on density, sector bias, and momentum (bias=right)",0.719,Good,Safe with minor inefficiencies
1794,43.5,148.7,Ion-A,1,8.15,0.6,0,0.57,1,4,red,20.5,0.355,Low,1.626,8.13,8.13,350,350,none,False,0.57,0,right,1,4,No threats detected,0.793,Good,Safe with minor inefficiencies
1553,50.3,202.1,Plasma-A,1,6.67,0.49,1,0.02,3,4,red,60.6,0.219,Low,1.832,9.16,9.16,19,358,left,True,0.02,21,right,3,4,"Threats ahead — adjusted based on density, sector bias, and momentum (bias=right)",0.792,Good,Safe with minor inefficiencies
1915,61.4,242.6,Ion-A,1,6.57,0.78,3,0.59,5,1,red,63.1,0.464,Medium,1.051,5.25,5.25,276,320,right,True,0.59,44,left,5,1,"Threats ahead — adjusted based on density, sector bias, and momentum (bias=left)",0.675,Good,Safe with minor inefficiencies
2193,42.9,288.5,Plasma-A,6,1.96,0.81,4,0.3,3,2,green,7.8,0.613,Medium,4.589,22.95,22.95,357,29,right,True,0.3,32,right,3,2,"Threats ahead — adjusted based on density, sector bias, and momentum (bias=right)",0.5,Risky,Moderate danger or cost detected
1839,70.6,210.0,Ion-A,7,4.56,0.69,3,0.47,2,4,red,48.0,0.801,High,1.278,6.39,6.39,356,317,left,True,0.47,39,right,2,4,"Threats ahead — adjusted based on density, sector bias, and momentum (bias=right)",0.542,Risky,Moderate danger or cost detected
1500,45.5,202.6,Fusion-B,2,8.18,0.59,2,0.96,3,1,green,13.0,0.395,Low,1.735,8.68,8.68,145,203,right,True,0.96,58,right,3,1,"Threats ahead — adjusted based on density, sector bias, and momentum (bias=right)",0.644,Good,Safe with minor inefficiencies
1956,67.1,286.3,Fusion-B,4,8.16,0.76,1,0.37,0,5,red,85.5,0.479,Medium,1.505,7.52,7.52,3,328,left,True,0.37,35,right,0,5,"Threats ahead — adjusted based on density, sector bias, and momentum (bias=right)",0.67,Good,Safe with minor inefficiencies
1935,62.1,228.8,Ion-A,8,2.11,0.1,0,0.6,3,5,green,48.3,0.519,Medium,1.054,5.27,5.27,352,352,none,False,0.6,0,,3,5,No threats detected,0.75,Good,Safe with minor inefficiencies
1818,77.9,188.8,Fusion-B,1,7.73,0.91,1,0.34,3,5,red,37.1,0.374,Low,1.382,6.91,6.91,129,95,left,True,0.34,34,,3,5,"Threats ahead — adjusted based on density, sector bias, and momentum (bias=None)",0.72,Good,Safe with minor inefficiencies
1948,65.8,222.0,Fusion-B,5,2.45,0.3,4,0.83,2,5,yellow,17.5,0.713,Medium,1.493,7.47,7.47,104,51,left,True,0.83,53,right,2,5,"Threats ahead — adjusted based on density, sector bias, and momentum (bias=right)",0.537,Risky,Moderate danger or cost detected
1965,47.3,267.9,Plasma-A,7,8.67,0.87,1,0.93,2,4,red,89.5,0.773,High,4.024,20.12,20.12,247,190,left,True,0.93,57,,2,4,"Threats ahead — adjusted based on density, sector bias, and momentum (bias=None)",0.403,Risky,Moderate danger or cost detected
1714,58.5,227.9,Plasma-A,5,3.62,0.16,5,0.1,3,5,green,65.3,0.381,Low,1.529,7.64,7.64,337,313,left,True,0.1,24,left,3,5,"Threats ahead — adjusted based on density, sector bias, and momentum (bias=left)",0.733,Good,Safe with minor inefficiencies
2165,59.5,192.9,Ion-A,7,2.15,0.69,5,0.1,1,0,green,55.8,0.562,Medium,1.223,6.12,6.12,260,284,right,True,0.1,24,right,1,0,"Threats ahead — adjusted based on density, sector bias, and momentum (bias=right)",0.673,Good,Safe with minor inefficiencies
1746,76.0,190.8,Plasma-A,0,5.06,0.65,1,0.31,3,5,green,52.6,0.185,Low,1.653,8.27,8.27,46,14,left,True,0.31,32,left,3,5,"Threats ahead — adjusted based on density, sector bias, and momentum (bias=left)",0.789,Good,Safe with minor inefficiencies
1882,62.6,198.3,Plasma-A,6,3.85,0.49,0,0.0,0,2,green,22.2,0.358,Low,1.579,7.89,7.89,189,189,none,False,0.0,0,left,0,2,No threats detected,0.794,Good,Safe with minor inefficiencies
2023,48.9,258.4,Ion-A,6,4.93,0.86,3,0.13,4,5,red,66.0,0.657,Medium,1.647,8.23,8.23,146,121,left,True,0.13,25,right,4,5,"Threats ahead — adjusted based on density, sector bias, and momentum (bias=right)",0.616,Good,Safe with minor inefficiencies
1458,75.1,214.1,Ion-A,7,4.23,0.37,3,0.55,0,1,red,15.8,0.824,High,1.094,5.47,5.47,265,223,left,True,0.55,42,,0,1,"Threats ahead — adjusted based on density, sector bias, and momentum (bias=None)",0.533,Risky,Moderate danger or cost detected
1599,64.3,274.7,Ion-A,8,8.73,0.23,4,0.54,5,1,red,23.7,0.838,High,1.073,5.37,5.37,86,128,right,True,0.54,42,left,5,1,"Threats ahead — adjusted based on density, sector bias, and momentum (bias=left)",0.529,Risky,Moderate danger or cost detected
1768,75.5,152.2,Ion-A,0,1.68,0.12,1,0.51,0,2,yellow,2.8,0.34,Low,0.892,4.46,4.46,180,140,left,True,0.51,40,right,0,2,"Threats ahead — adjusted based on density, sector bias, and momentum (bias=right)",0.739,Good,Safe with minor inefficiencies
